# Delay[ns]	Avg Transient	0148 Delay[ns]	0148 Transient	0149 Delay[ns]	0149 Transient	0150 Delay[ns]	0150 Transient	0151 Delay[ns]	0151 Transient	0152 Delay[ns]	0152 Transient	0216 Delay[ns]	0216 Transient	0217 Delay[ns]	0217 Transient	0218 Delay[ns]	0218 Transient
7.615000e+01	6.312032e-03	7.015000e+01	1.834888e-03	7.015000e+01	-1.889590e-03	6.815000e+01	3.168235e-02	6.815000e+01	7.505100e-02	7.015000e+01	-2.281850e-03	8.815000e+01	2.018859e-03	7.415000e+01	-5.672659e-02	7.215000e+01	1.759063e-02
7.815000e+01	-1.037086e-03	7.215000e+01	3.253534e-02	7.215000e+01	1.783115e-02	7.015000e+01	1.014961e-01	7.015000e+01	6.447102e-02	7.215000e+01	7.310994e-02	9.215000e+01	3.918861e-02	7.615000e+01	-6.242377e-02	7.615000e+01	1.283927e-02
8.015000e+01	1.099046e-04	7.415000e+01	2.005273e-02	7.415000e+01	-2.928704e-02	7.215000e+01	3.144132e-02	7.215000e+01	-6.551670e-03	7.415000e+01	-5.098277e-02	9.415000e+01	-4.763565e-04	7.815000e+01	-2.815259e-02	7.815000e+01	1.138165e-03
8.215000e+01	1.253196e-02	7.615000e+01	-7.743406e-03	7.815000e+01	-2.603704e-02	7.415000e+01	2.718743e-02	7.615000e+01	8.569894e-03	7.815000e+01	1.011570e-02	9.615000e+01	2.266895e-02	8.015000e+01	-6.185810e-02	8.015000e+01	4.557447e-02
8.415000e+01	2.314782e-03	8.015000e+01	-6.429807e-03	8.015000e+01	-6.063566e-02	7.615000e+01	5.161419e-02	7.815000e+01	-1.714852e-03	8.215000e+01	7.532886e-02	9.815000e+01	3.893320e-02	8.215000e+01	1.828247e-02	8.215000e+01	2.330254e-02
8.615000e+01	4.285948e-02	8.215000e+01	-5.916700e-03	8.215000e+01	2.016031e-02	7.815000e+01	1.493453e-02	8.015000e+01	-3.284854e-02	8.415000e+01	-1.513571e-02	1.001500e+02	2.428475e-02	8.415000e+01	-4.583741e-02	8.415000e+01	-5.107732e-02
9.015000e+01	1.316503e-02	8.615000e+01	4.945047e-02	8.415000e+01	-5.806534e-03	8.015000e+01	5.012787e-03	8.215000e+01	-3.762834e-02	8.815000e+01	2.661818e-02	1.021500e+02	3.354683e-03	8.815000e+01	-5.399798e-02	8.815000e+01	4.991442e-02
9.215000e+01	3.083103e-02	9.015000e+01	-6.004548e-03	8.815000e+01	5.447471e-03	8.215000e+01	-1.906144e-02	8.415000e+01	5.721317e-03	9.015000e+01	5.178654e-02	1.041500e+02	6.102407e-02	9.215000e+01	5.512295e-02	9.015000e+01	4.202308e-02
9.615000e+01	5.452248e-03	9.215000e+01	1.731774e-02	9.015000e+01	-1.416782e-02	8.415000e+01	4.943238e-02	8.815000e+01	3.038622e-02	9.215000e+01	2.594678e-02	1.061500e+02	1.524500e-02	9.415000e+01	2.446581e-02	9.215000e+01	2.919980e-02
1.001500e+02	1.018863e-02	9.415000e+01	2.714043e-02	9.215000e+01	4.393112e-02	8.815000e+01	-2.012450e-02	9.215000e+01	-1.662949e-02	9.415000e+01	7.149249e-03	1.081500e+02	8.953241e-03	9.815000e+01	7.905750e-02	9.415000e+01	7.642265e-03
