# Delay[ns]	Avg Transient	019 Delay[ns]	019 Transient	0196 Delay[ns]	0196 Transient	0197 Delay[ns]	0197 Transient	019 Delay[ns]	019 Transient	0199 Delay[ns]	0199 Transient	0201 Delay[ns]	0201 Transient	0202 Delay[ns]	0202 Transient
1.221500e+02	2.739531e-02	1.221500e+02	2.980683e-02	1.221500e+02	2.845852e-02	1.221500e+02	2.818232e-02	1.341500e+02	1.244065e-02	1.341500e+02	4.640684e-02	1.341500e+02	1.810974e-02	1.341500e+02	6.229419e-03
1.241500e+02	1.862726e-02	1.241500e+02	3.185890e-02	1.241500e+02	5.759274e-03	1.241500e+02	3.231533e-02	1.361500e+02	2.630657e-02	1.361500e+02	2.373195e-02	1.361500e+02	4.623358e-02	1.361500e+02	2.916570e-02
1.261500e+02	1.684137e-02	1.261500e+02	1.885521e-02	1.261500e+02	2.214222e-02	1.261500e+02	2.432469e-02	1.381500e+02	3.095485e-02	1.381500e+02	3.880909e-02	1.381500e+02	1.916047e-02	1.381500e+02	1.994801e-02
1.281500e+02	1.894951e-02	1.281500e+02	1.738747e-02	1.281500e+02	-1.656643e-03	1.281500e+02	4.100788e-02	1.401500e+02	4.407910e-03	1.401500e+02	1.627074e-02	1.401500e+02	3.462976e-02	1.401500e+02	-6.236769e-04
1.301500e+02	2.317954e-02	1.301500e+02	3.545647e-02	1.301500e+02	3.354799e-02	1.301500e+02	2.861693e-02	1.421500e+02	2.288205e-02	1.421500e+02	4.077193e-02	1.421500e+02	1.711050e-02	1.421500e+02	2.356499e-02
1.321500e+02	1.855297e-02	1.321500e+02	1.022910e-02	1.321500e+02	2.736665e-02	1.321500e+02	-3.547738e-03	1.441500e+02	7.044377e-03	1.441500e+02	7.883356e-03	1.441500e+02	1.189307e-02	1.441500e+02	2.297627e-02
1.341500e+02	2.493264e-02	1.341500e+02	5.048107e-02	1.341500e+02	1.950380e-02	1.341500e+02	2.135698e-02	1.461500e+02	6.470157e-02	1.461500e+02	2.724141e-02	1.461500e+02	2.363908e-02	1.461500e+02	1.933471e-02
1.361500e+02	2.984738e-02	1.361500e+02	3.546985e-02	1.361500e+02	1.916795e-02	1.361500e+02	2.885604e-02	1.481500e+02	3.096643e-02	1.481500e+02	2.323903e-02	1.481500e+02	1.288775e-02	1.481500e+02	1.367653e-02
1.381500e+02	2.544340e-02	1.381500e+02	2.611837e-02	1.381500e+02	1.223530e-02	1.381500e+02	3.087767e-02	1.501500e+02	2.076493e-02	1.501500e+02	2.771957e-02	1.501500e+02	1.826178e-02	1.501500e+02	3.293565e-03
1.401500e+02	1.891142e-02	1.401500e+02	2.294349e-02	1.401500e+02	3.259986e-02	1.401500e+02	2.215182e-02	1.521500e+02	2.999827e-02	1.521500e+02	8.925076e-03	1.521500e+02	1.557031e-02	1.521500e+02	9.003668e-03
1.421500e+02	1.907522e-02	1.421500e+02	6.484976e-03	1.421500e+02	2.921276e-02	1.421500e+02	-6.500690e-03	1.541500e+02	1.610596e-02	1.541500e+02	1.562349e-02	1.541500e+02	1.267478e-02	1.541500e+02	1.578501e-02
1.441500e+02	1.379521e-02	1.441500e+02	1.937065e-02	1.441500e+02	1.675219e-02	1.441500e+02	1.064659e-02	1.561500e+02	-8.790235e-03	1.561500e+02	6.623619e-03	1.561500e+02	8.891861e-03	1.561500e+02	-4.840397e-03
1.461500e+02	2.977077e-02	1.461500e+02	3.164864e-02	1.461500e+02	3.337709e-02	1.461500e+02	8.452902e-03	1.581500e+02	1.550318e-02	1.581500e+02	-4.090422e-04	1.581500e+02	-9.981312e-03	1.581500e+02	-3.367559e-03
1.481500e+02	2.185592e-02	1.481500e+02	2.686392e-02	1.481500e+02	7.639451e-03	1.481500e+02	3.771836e-02	1.601500e+02	4.050868e-02	1.601500e+02	1.707568e-02	1.601500e+02	-3.948071e-03	1.601500e+02	1.440212e-02
1.501500e+02	1.762905e-02	1.501500e+02	1.060283e-02	1.501500e+02	2.303107e-02	1.501500e+02	1.972957e-02	1.621500e+02	3.679109e-02	1.621500e+02	2.650929e-02	1.621500e+02	-5.232135e-04	1.621500e+02	1.333480e-02
1.521500e+02	1.779057e-02	1.521500e+02	3.134136e-02	1.521500e+02	9.538280e-03	1.521500e+02	2.015701e-02	1.641500e+02	3.870232e-02	1.641500e+02	4.646843e-03	1.641500e+02	3.444057e-03	1.641500e+02	1.973065e-02
1.541500e+02	1.720415e-02	1.541500e+02	1.234428e-02	1.541500e+02	1.768148e-02	1.541500e+02	3.021403e-02	1.661500e+02	4.720133e-02	1.661500e+02	4.973242e-02	1.661500e+02	8.923169e-03	1.661500e+02	-1.285720e-02
1.561500e+02	6.893702e-03	1.561500e+02	2.451347e-02	1.561500e+02	7.294362e-03	1.561500e+02	1.456323e-02	1.681500e+02	2.079728e-02	1.681500e+02	3.807738e-03	1.681500e+02	2.787792e-02	1.681500e+02	2.234795e-02
