# Delay[ns]	Avg Transient	0137 Delay[ns]	0137 Transient	0138 Delay[ns]	0138 Transient	0139 Delay[ns]	0139 Transient
2.501500e+02	1.182359e-02	2.501500e+02	1.357540e-02	2.601500e+02	4.811887e-02	2.421500e+02	1.135194e-03
2.521500e+02	4.337649e-02	2.521500e+02	4.456182e-02	2.621500e+02	1.847022e-02	2.461500e+02	5.032501e-02
2.541500e+02	1.948315e-02	2.541500e+02	2.937021e-02	2.641500e+02	4.197886e-02	2.501500e+02	2.456492e-02
2.561500e+02	3.424491e-02	2.561500e+02	2.974842e-02	2.661500e+02	2.552758e-02	2.521500e+02	5.311306e-02
2.581500e+02	2.885535e-02	2.581500e+02	4.235739e-02	2.701500e+02	4.205461e-02	2.541500e+02	6.692877e-03
2.621500e+02	2.940544e-02	2.601500e+02	3.460265e-02	2.721500e+02	-1.735418e-02	2.581500e+02	1.436081e-02
2.641500e+02	5.207759e-02	2.621500e+02	5.449044e-02	2.741500e+02	2.790590e-02	2.601500e+02	2.188079e-02
2.661500e+02	2.730224e-02	2.641500e+02	8.867673e-02	2.761500e+02	5.968869e-02	2.621500e+02	1.525567e-02
2.681500e+02	1.923907e-02	2.661500e+02	3.777667e-02	2.801500e+02	-1.863067e-02	2.641500e+02	2.557718e-02
2.701500e+02	1.102183e-02	2.681500e+02	-5.056312e-03	2.821500e+02	3.044619e-02	2.661500e+02	1.860246e-02
2.721500e+02	6.793613e-03	2.721500e+02	1.851629e-02	2.841500e+02	1.908223e-02	2.681500e+02	3.444366e-02
2.741500e+02	3.631294e-02	2.741500e+02	5.992919e-02	   nan	   nan	2.701500e+02	-1.176587e-02
2.781500e+02	1.944968e-02	2.781500e+02	3.729687e-02	   nan	   nan	2.721500e+02	1.921873e-02
2.801500e+02	-8.810485e-03	2.801500e+02	-7.618912e-03	   nan	   nan	2.741500e+02	2.110374e-02
2.821500e+02	3.286327e-02	2.821500e+02	4.278390e-02	   nan	   nan	2.761500e+02	1.814982e-02
2.841500e+02	2.486535e-02	   nan	   nan	   nan	   nan	2.781500e+02	6.010576e-03
   nan	   nan	   nan	   nan	   nan	   nan	2.821500e+02	2.535971e-02
   nan	   nan	   nan	   nan	   nan	   nan	2.841500e+02	1.552634e-02
