# Delay[ns]	Avg Transient	0242 Delay[ns]	0242 Transient	0243 Delay[ns]	0243 Transient	0255 Delay[ns]	0255 Transient	0257 Delay[ns]	0257 Transient	0258 Delay[ns]	0258 Transient	0259 Delay[ns]	0259 Transient
1.701500e+02	-1.558312e-02	1.701500e+02	-9.064553e-05	1.741500e+02	-1.589870e-02	1.701500e+02	-6.184845e-03	1.741500e+02	-1.196000e-02	1.481500e+02	4.242261e-03	1.561500e+02	-1.027030e-02
1.721500e+02	-2.182230e-02	1.721500e+02	-6.573784e-02	1.761500e+02	1.558008e-02	1.721500e+02	-7.020330e-03	1.761500e+02	-1.223726e-02	1.521500e+02	1.261217e-02	1.581500e+02	-2.030984e-02
1.741500e+02	-1.336237e-02	1.741500e+02	-5.386187e-03	1.781500e+02	-2.145516e-02	1.741500e+02	-2.211113e-02	1.801500e+02	-5.587890e-02	1.541500e+02	-2.572599e-04	1.621500e+02	3.158114e-02
1.761500e+02	3.033634e-03	1.761500e+02	-3.387229e-03	1.801500e+02	-1.720646e-02	1.761500e+02	-5.093702e-02	1.821500e+02	-5.862190e-03	1.561500e+02	1.382242e-02	1.661500e+02	1.030281e-03
1.781500e+02	-8.005478e-03	1.781500e+02	-1.937451e-03	1.821500e+02	-4.402800e-02	1.801500e+02	-6.440980e-03	1.841500e+02	-1.593263e-03	1.581500e+02	-2.452349e-02	1.681500e+02	1.167666e-02
1.801500e+02	-2.615610e-02	1.801500e+02	-4.059404e-02	1.841500e+02	2.219317e-02	1.841500e+02	-2.331472e-02	1.861500e+02	-3.226029e-02	1.601500e+02	5.985173e-03	1.701500e+02	-2.715097e-02
1.821500e+02	-1.331367e-02	1.821500e+02	3.543229e-02	1.861500e+02	-1.294225e-02	1.861500e+02	-1.169431e-02	1.881500e+02	1.531939e-02	1.641500e+02	-8.956286e-03	1.721500e+02	2.016008e-02
1.861500e+02	-4.422185e-03	1.841500e+02	-2.482902e-02	1.881500e+02	2.049187e-03	1.881500e+02	-3.009457e-03	1.901500e+02	-5.409605e-03	1.661500e+02	-1.107014e-02	1.741500e+02	-1.467114e-02
1.881500e+02	4.595179e-03	1.861500e+02	-2.128107e-03	1.901500e+02	9.678517e-03	1.901500e+02	-2.183829e-02	1.941500e+02	-1.225263e-02	1.701500e+02	6.561364e-03	1.761500e+02	3.819138e-02
1.901500e+02	8.248178e-04	1.881500e+02	-4.548654e-02	1.921500e+02	-4.220911e-02	1.921500e+02	-6.962823e-03	1.961500e+02	-2.905878e-02	1.721500e+02	-4.152459e-02	1.781500e+02	1.632766e-02
1.921500e+02	-1.422492e-02	1.901500e+02	-3.275833e-02	1.941500e+02	-3.003720e-02	1.941500e+02	-3.230498e-02	1.981500e+02	5.103643e-03	1.741500e+02	-1.014706e-02	1.801500e+02	-8.469186e-03
1.941500e+02	-2.229071e-03	1.941500e+02	1.902934e-02	1.961500e+02	-2.051320e-03	1.961500e+02	1.526150e-03	2.001500e+02	-1.732722e-02	1.761500e+02	3.099185e-02	1.821500e+02	-3.342837e-02
1.961500e+02	-6.962640e-03	1.961500e+02	1.769459e-02	1.981500e+02	-2.860921e-02	1.981500e+02	3.024513e-02	2.021500e+02	-2.226334e-02	1.781500e+02	-2.276684e-02	1.841500e+02	1.362488e-02
1.981500e+02	-6.127504e-03	2.001500e+02	-2.964500e-02	2.021500e+02	-1.180364e-02	2.001500e+02	-2.829473e-02	2.041500e+02	-3.690852e-02	1.801500e+02	-2.834700e-02	1.861500e+02	2.203440e-02
2.001500e+02	-8.893141e-03	2.021500e+02	1.023998e-02	2.061500e+02	-1.174396e-02	2.041500e+02	5.751685e-04	2.061500e+02	-6.908968e-03	1.821500e+02	-2.086772e-02	1.881500e+02	1.881075e-02
2.021500e+02	-4.552917e-03	2.041500e+02	-2.483480e-02	2.081500e+02	-7.393219e-03	2.061500e+02	-3.670624e-02	2.081500e+02	-4.466971e-02	1.841500e+02	-1.496291e-02	1.901500e+02	4.650107e-02
2.041500e+02	-2.534662e-02	2.061500e+02	-6.246997e-02	2.101500e+02	-5.675303e-04	2.081500e+02	-6.339797e-03	2.101500e+02	-6.025075e-02	1.861500e+02	1.045745e-02	1.921500e+02	-5.495753e-02
2.061500e+02	-1.881100e-02	2.081500e+02	5.618520e-03	2.121500e+02	-2.098857e-02	2.121500e+02	-4.642674e-02	2.121500e+02	-1.609562e-02	1.881500e+02	3.988774e-02	1.941500e+02	3.045674e-02
2.081500e+02	-1.367594e-02	2.101500e+02	-1.170329e-02	2.141500e+02	-1.667452e-02	2.141500e+02	-3.219072e-02	2.141500e+02	-2.510140e-02	1.901500e+02	8.775537e-03	1.981500e+02	-4.310262e-02
2.101500e+02	-1.333592e-02	2.121500e+02	1.621849e-02	2.161500e+02	5.580926e-03	2.161500e+02	-9.884697e-03	2.161500e+02	-1.800856e-02	1.921500e+02	2.142502e-02	2.001500e+02	-2.377508e-02
2.121500e+02	-1.763290e-02	2.141500e+02	-1.601736e-02	2.181500e+02	4.618503e-02	2.181500e+02	9.250037e-03	2.181500e+02	1.736429e-04	1.941500e+02	1.173429e-02	2.021500e+02	2.088567e-03
2.141500e+02	-1.049045e-02	2.161500e+02	2.168515e-02	2.201500e+02	5.966168e-04	2.221500e+02	1.122940e-02	2.201500e+02	-2.636126e-02	1.961500e+02	-4.074530e-02	2.041500e+02	-1.240326e-02
