# Delay[ns]	Avg Transient	0242 Delay[ns]	0242 Transient	0243 Delay[ns]	0243 Transient	0257 Delay[ns]	0257 Transient	0258 Delay[ns]	0258 Transient	0259 Delay[ns]	0259 Transient
1.361500e+02	1.289758e-02	1.361500e+02	9.477022e-03	1.361500e+02	2.435622e-02	1.361500e+02	1.682102e-02	1.361500e+02	-3.725573e-03	1.361500e+02	1.755921e-02
1.381500e+02	1.200351e-02	1.381500e+02	3.152515e-02	1.381500e+02	1.639623e-02	1.381500e+02	-3.880901e-04	1.381500e+02	-4.764206e-04	1.381500e+02	1.296068e-02
1.401500e+02	2.256871e-02	1.401500e+02	1.403339e-02	1.401500e+02	3.436546e-02	1.401500e+02	1.198173e-02	1.401500e+02	1.825581e-02	1.401500e+02	3.420715e-02
1.421500e+02	1.778545e-02	1.421500e+02	1.828023e-02	1.421500e+02	1.984014e-02	1.421500e+02	2.585890e-02	1.421500e+02	1.156346e-02	1.421500e+02	1.338453e-02
1.441500e+02	2.863537e-02	1.441500e+02	5.458491e-02	1.441500e+02	2.952424e-02	1.441500e+02	8.853864e-03	1.441500e+02	4.615055e-03	1.441500e+02	4.559879e-02
1.461500e+02	1.452287e-02	1.461500e+02	4.111260e-03	1.461500e+02	1.946683e-02	1.461500e+02	1.771995e-02	1.461500e+02	1.700368e-02	1.461500e+02	1.431265e-02
1.481500e+02	2.304540e-02	1.481500e+02	2.080971e-02	1.481500e+02	3.549834e-02	1.481500e+02	1.834877e-02	1.481500e+02	1.768995e-02	1.481500e+02	2.288023e-02
1.501500e+02	2.087737e-02	1.501500e+02	2.029179e-02	1.501500e+02	1.958205e-02	1.501500e+02	5.576915e-03	1.501500e+02	2.420040e-02	1.501500e+02	3.473568e-02
1.521500e+02	1.825623e-02	1.521500e+02	-1.781244e-03	1.521500e+02	3.009459e-02	1.521500e+02	1.275840e-02	1.521500e+02	1.329462e-02	1.521500e+02	3.691475e-02
1.541500e+02	2.369525e-02	1.541500e+02	3.701332e-02	1.541500e+02	1.098939e-02	1.541500e+02	4.471376e-03	1.541500e+02	3.181787e-02	1.541500e+02	3.418432e-02
1.561500e+02	2.877741e-02	1.561500e+02	4.110584e-02	1.561500e+02	2.308935e-02	1.561500e+02	2.746354e-02	1.561500e+02	1.004580e-02	1.561500e+02	4.218254e-02
1.581500e+02	1.924654e-02	1.581500e+02	1.426361e-02	1.581500e+02	3.235409e-02	1.581500e+02	1.210932e-02	1.581500e+02	9.619546e-03	1.581500e+02	2.788614e-02
1.601500e+02	2.357860e-02	1.601500e+02	2.894382e-02	1.601500e+02	3.078644e-02	1.601500e+02	-4.682005e-03	1.601500e+02	3.365526e-02	1.601500e+02	2.918948e-02
1.621500e+02	1.677700e-02	1.621500e+02	3.623766e-02	1.621500e+02	1.636310e-02	1.621500e+02	5.328829e-03	1.621500e+02	7.715804e-03	1.621500e+02	1.823960e-02
1.641500e+02	1.147870e-02	1.641500e+02	3.266154e-03	1.641500e+02	1.737337e-02	1.641500e+02	-9.902038e-04	1.641500e+02	1.484547e-02	1.641500e+02	2.289873e-02
